variant    target   window flg    sim acc/frm     hw acc/frm   delta%
movem_w    work_ram active   1        21664.0        21664.0     0.00
movem_w    work_ram vblank   0         3888.0         3888.0     0.00
movem_w    work_ram vblank   1         3888.0         3888.0     0.00
nomem      work_ram active   0        22704.0        22704.0     0.00
nomem      work_ram hline    0          128.0          128.0     0.00
nomem      work_ram vblank   0         4080.0         4080.0     0.00
rmw        work_ram hline    0           96.0           96.0     0.00
rmw        work_ram hline    1           96.0           96.0     0.00
rmw        work_ram vblank   0         2992.0         2992.0     0.00
rmw        work_ram vblank   1         2992.0         2992.0     0.00
word_r     work_ram hline    0           80.0           80.0     0.00
word_r     work_ram hline    1           80.0           80.0     0.00
word_r     work_ram vblank   0         2336.0         2336.0     0.00
word_r     work_ram vblank   1         2336.0         2336.0     0.00
word_w     bg_vram  hline    1           64.0           64.0     0.00
word_w     fg_vram  hline    1           64.0           64.0     0.00
word_w     work_ram hline    0           80.0           80.0     0.00
word_w     work_ram hline    1           80.0           80.0     0.00
word_w     work_ram vblank   0         2336.0         2336.0     0.00
word_w     work_ram vblank   1         2336.0         2336.0     0.00

worst |delta| = 66.67% (tolerance 0.5%)
